field1,field2,field3,field4,field5,field6,_GC_TYPE,_CLEANADDR,_PNU,_X,_Y
2017,2017-04-25,주유소,휴업,대성주유소,전라북도 부안군 부안로2072 (상서면),정,전북특별자치도 부안군 부안로 2072 (상서면),5280039023101340003,126.68299225120853,35.69118763807704
2017,2017-05-26,주유소,휴업,현대오일뱅크(주)직영 금정셀프주유소,부산광역시 금정구 중앙대로1664 (부곡동),정,부산광역시 금정구 중앙대로 1664 (부곡동),2641010900102430008,129.09188956975083,35.232891574821984
2017,2017-04-26,주유소,신규등록,주식회사박리다매주유소,경기도 의정부시 시민로284 (신곡동),정,경기도 의정부시 시민로 284 (신곡동),4115010400101460009,127.06622388661205,37.736678917855365
2017,2017-04-24,주유소,휴업,해주에너비스(주) 사등주유소,경상남도 거제시 거제대로5486 (사등면),정,경상남도 거제시 거제대로 5486 (사등면),4831036022119240000,128.54543653152683,34.90998722803697
2017,2017-03-31,주유소,휴업,토함산주유소,경상북도 경주시 불국로177 (마동),정,경상북도 경주시 불국로 177 (마동),4713013200105920008,129.312574140147,35.78462593888112
2017,2017-04-26,주유소,등록취소,우리주유소,경상북도 경주시 산업로2016 (외동읍),정,경상북도 경주시 산업로 2016 (외동읍),4713025932100600006,129.33238626005075,35.693918503246465
2017,2017-04-23,주유소,휴업,한우리주유소,경기도 파주시 통일로588 (아동동),정,경기도 파주시 통일로 588 (아동동),4148010200100900015,126.79536121418408,37.76286595126407
2017,2017-04-26,주유소,폐업,수암주유소,전라남도 영암군 녹색로2886 (학산면),정,전라남도 영암군 녹색로 2886 (학산면),4683038021103100000,126.65607389833882,34.70108965969209
2017,2017-04-04,주유소,폐업,연지주유소,경상북도 구미시 강동로1844 (해평면),정,경상북도 구미시 강동로 1844 (해평면),4719034028101250001,128.38434391782582,36.2138160766298
2017,2017-04-03,주유소,폐업,성진주유소,경기도 파주시 엘지로639 (탄현면),정,경기도 파주시 엘지로 639 (탄현면),4148032030102850006,126.73696999326563,37.829730850238334
2017,2017-05-31,주유소,폐업,대소주유소,충청북도 음성군 오태로120 (대소면),정,충청북도 음성군 오태로 120 (대소면),4377034021101730000,127.4879767399348,36.96656076167084
2017,2017-04-27,주유소,신규등록,금강주유소,경기도 여주시 가남읍 여주남로 761-1,정,경기도 여주시 여주남로 761-1 (가남읍),4167025032107200005,127.57466006160116,37.23385548295595
2017,2017-05-01,주유소,휴업,학섬주유소,경상남도 통영시 남해안대로1865 (도산면),정,경상남도 통영시 남해안대로 1865 (도산면),4822033022103740005,128.35820970262336,34.91772448614795
2017,2017-04-27,주유소,휴업,민들레주유소,경기도 화성시 발안만세길156 (향남읍),정,경기도 화성시 발안만세길 156 (향남읍),4159025941103370003,126.89953299566395,37.137114819397624
2017,2017-04-27,주유소,휴업,송죽2주유소,전라남도 나주시 예향로3627 (왕곡면),정,전라남도 나주시 예향로 3627 (왕곡면),4617032032104120000,126.70380154623092,34.981405378070654
2017,2017-05-01,주유소,휴업,양주통일주유소,경기도 양주시 평화로1803 (회정동),정,경기도 양주시 평화로 1803 (회정동),4163011700100170008,127.05451142953021,37.85004610521696
2017,2017-04-10,주유소,휴업,소태정주유소,전라북도 진안군 전진로1678 (부귀면),정,전북특별자치도 진안군 전진로 1678 (부귀면),5272038029100890002,127.32739531939288,35.8560053299036
2017,2017-04-10,주유소,신규등록,구성주유소,"경상북도 김천시 시청1길 1, (신음동, 김천시청)",정,경상북도 김천시 시청1길 1 (신음동),4715010800112840000,128.11363832571928,36.13987534408045
2017,2017-05-04,주유소,휴업,나바우주유소,전라북도 익산시 익산대로2802 (망성면),정,전북특별자치도 익산시 익산대로 2802 (망성면),5214038021108850003,127.00629995683039,36.145724589185434
2017,2017-06-01,주유소,폐업,청천주유소,충청북도 괴산군 청천3길11-6 (청천면),정,충청북도 괴산군 청천3길 11-6 (청천면),4376036021100600005,127.73694125808139,36.658904277947364
2017,2017-04-04,주유소,휴업,(주)다우피엔지 죽암(부산)주유소,충청북도 청주시 서원구 경부고속도로287 (현도면),정,충청북도 청주시 서원구 경부고속도로 287 (현도면),4311232026102820000,127.42965591324149,36.48576013956369
