연도,변동사유발생연월일,판매업종류,구분,업체명,소재지,위도,경도
2015,2015-02-16,주유소,폐업,대진주유소,울산광역시 울주군 헌양길157 (언양읍),35.5666720823265,129.118025439704
2015,2015-02-17,주유소,폐업,부곡주유소,경북 김천시 김천로9,36.1249842532514,128.104843308354
2015,2015-02-23,주유소,폐업,해동주유소,강원도 강릉시 연주로458 (주문진읍),37.89285113542,128.825136973511
2015,2015-02-23,주유소,폐업,행주주유소,경기도 고양시 덕양구 토당로22 (토당동),37.6185242986325,126.822818743978
2015,2015-02-23,주유소,폐업,한진주유소,부산광역시 부산진구 가야대로417 (개금동),,
2015,2015-02-23,주유소,폐업,고척주유소,서울특별시 구로구 고척로239 (고척동),37.5066854020441,126.859579966237
2015,2015-02-23,주유소,휴업,장백주유소,전라북도 무주군 무설로491 (무주읍),36.0309316006816,127.714235083143
2015,2015-02-24,주유소,휴업,하일라주유소,강원도 고성군 토성면 동해대로 4868,,
2015,2015-02-24,주유소,폐업,하나주유소,경상북도 예천군 충효로187 (예천읍),36.6494868662039,128.444796660074
2015,2015-02-24,주유소,폐업,부영주유소,서울특별시 용산구 이촌로16 (이촌동),,
2015,2015-02-24,주유소,휴업,GS칼텍스㈜ 인천공항점,인천광역시 중구 공항동로295번길124 (운서동),37.4693409225693,126.459854308705
2015,2015-02-24,주유소,폐업,세일주유소,전라남도 신안군 서남문로190 (비금면),34.7692443466407,125.982404055332
2015,2015-02-24,주유소,휴업,춘장대IC주유소,충청남도 서천군 충서로1310 (비인면),36.1628037512785,126.612617445268
2015,2015-02-25,주유소,휴업,대청봉주유소,강원도 속초시 설악산로441 (도문동,38.1642487984007,128.559530740974
2015,2015-02-25,주유소,휴업,㈜최강에너지본점,경기도 가평군 청군로450 (상면),37.7623507576284,127.394145194431
2015,2015-02-25,주유소,폐업,사천주유소,경상남도 사천시 진삼로1055 (사남면),35.0493808289269,128.071214262443
2015,2015-02-25,주유소,휴업,평촌주유소,대전광역시 서구 벌곡로394 (평촌동),36.2397645512092,127.320113955648
2015,2015-02-25,주유소,휴업,줄포관광주유소,전라북도 부안군 부안로991 (줄포면),35.5975346879794,126.673409354879
2015,2015-02-26,주유소,폐업,미송주유소,전라남도 광양시 순광로440 (광양읍,,
2015,2015-02-27,주유소,휴업,진고개주유소,강원도 강릉시 진고개로1067 (연곡면),37.8431271093775,128.658459249473
2015,2015-02-27,주유소,휴업,믿음가득주유소,경기도 용인시 처인구 죽양대로820 (백암면),37.1409844588911,127.393765247646
2015,2015-02-27,주유소,휴업,남양주유소,경상남도 사천시 진삼로252 (신벽동),34.9790423126819,128.062849042562
2015,2015-02-27,주유소,휴업,OK주유소,경상북도 영덕군 동해대로4499 (강구면),36.3589765257322,129.379280909187
2015,2015-02-27,주유소,폐업,연안주유소,전라남도 목포시 양을로522 (상동),34.8109881489317,126.422688764234
2015,2015-03-02,주유소,휴업,검창주유소,경기도 양주시 권율로1297 (백석읍,37.8028912180187,126.969336197773
2015,2015-03-02,주유소,휴업,성림주유소,대전광역시 유성구 유성대로753번길 6,36.3601132514075,127.334507347024
2015,2015-03-02,주유소,휴업,물곡주유소,전라북도 진안군 진장로400 (진안읍),35.7824512053985,127.464406823952
2015,2015-03-03,주유소,폐업,신도시주유소,경기도 고양시 일산동구 백마로495 (풍동),37.6628514438035,126.803059264925
2015,2015-03-03,주유소,폐업,목재단지주유소,인천광역시 서구 염곡로148,37.4976839158154,126.667794265089
2015,2015-03-03,주유소,폐업,청라신도시주유소,인천광역시 서구 중봉대로350 (원창동),37.5105186016766,126.649101651059
2015,2015-03-03,주유소,휴업,태양주유소,인천광역시 서구 중봉대로378 (원창동),37.5131326877575,126.649258397459
2015,2015-03-03,주유소,휴업,장덕주유소,전라북도 장수군 한들로124 (장계면),35.7311642781778,127.585660442293
2015,2015-03-04,주유소,휴업,친절한주유소,경기도 남양주시 양진로 329 (진건읍),37.6500439764083,127.173974575843
2015,2015-03-04,주유소,휴업,하늘주유소,경남 창원시 마산회원구 북성로 373,35.2337997712969,128.556691451637
2015,2015-03-04,주유소,폐업,태양주유소,부산광역시 부산진구 성지로60 (연지동),35.1760020623058,129.054944070991
2015,2015-03-04,주유소,폐업,현대오일뱅크㈜직영 연희현대,서울특별시 서대문구 연희로141 (연희동),37.5702355844946,126.93330983323
2015,2015-03-04,주유소,폐업,세화주유소,인천광역시 서구 드림로396 (당하동),,
2015,2015-03-04,주유소,휴업,유주주유소,인천광역시 서구 봉수대로1581번길24 (금곡동),37.6129930869441,126.639017172904
2015,2015-03-05,주유소,휴업,광명주유소,경기도 양주시 부흥로889 (광적면),37.8132640217494,126.990129091481
2015,2015-03-05,주유소,휴업,슈퍼맨주유소㈜,경기도 양주시 평화로1803 (회정동),37.850081970009,127.054515023266
2015,2015-03-05,주유소,휴업,㈜삼보 명진셀프주유소,부산광역시 동래구 충렬대로51 (온천동),35.209015924427,129.067183366158
2015,2015-03-06,주유소,폐업,송륜주유소,전라남도 여수시 동문로109 (공화동),34.746327310969,127.742835294965
2015,2015-03-09,주유소,휴업,생곡휴게주유소,강원도 홍천군 서석면 구룡령로 3471,37.7114109721294,128.273988191712
2015,2015-03-09,주유소,휴업,송정주유소,경상북도 구미시 송정대로96 (송정동),36.1167041723559,128.348965016898
2015,2015-03-09,주유소,휴업,SK영신주유소,대구광역시 동구 신암남로146 (신암동),35.8822881915835,128.630870723953
2015,2015-03-09,주유소,폐업,행원주유소,제주특별자치도 제주시 행원로74 (구좌읍),,
2015,2015-03-10,주유소,휴업,신북주유소,전라남도 영암군 예향로2605 (신북면),34.892675458768,126.691143464974
2015,2015-03-11,주유소,폐업,부천테크노주유소,경기도 부천시 오정구 오정로101 (삼정동),37.5260311367415,126.771461215889
2015,2015-03-11,주유소,폐업,대현주유소,울산광역시 남구 번영로11 (야음동),35.5266505650983,129.330011809394
2015,2015-03-11,주유소,휴업,옥련주유소,인천광역시 연수구 독배로132 (옥련동),,
2015,2015-03-11,주유소,폐업,한송주유소,제주특별자치도 서귀포시 상모로309-1 (대정읍),33.2225354213702,126.256221596938
2015,2015-03-11,주유소,휴업,금강주유소,충청북도 제천시 송학주천로173 (송학면),37.1789138820968,128.238617962202
2015,2015-03-11,주유소,휴업,쌍둥이주유소,충청북도 제천시 청풍호로130 (강제동),37.1195956005313,128.201783798883
2015,2015-03-12,주유소,휴업,영천주유소,경상북도 영천시 장수로438 (청통면),35.9931912599141,128.895271159865
2015,2015-03-12,주유소,폐업,문수주유소,울산광역시 울주군 웅촌로739 (웅촌면),,
2015,2015-03-13,주유소,폐업,호남고속주유소,광주광역시 북구 북문대로18 (운암동),35.1742542083694,126.883481656966
2015,2015-03-13,주유소,휴업,드림주유소,전라북도 완주군 춘향로4126 (상관면),35.7211162614475,127.233291277736
2015,2015-03-16,주유소,휴업,대둔산주유소,충청남도 금산군 태고사로450 (진산면),36.1597284793134,127.337289559464
2015,2015-03-17,주유소,휴업,스마일주유소,경상북도 울진군 덕구온천로488 (북면),37.0855699209716,129.324355518233
2015,2015-03-17,주유소,폐업,백양주유소,서울특별시 송파구 위례성대로260(오금동),,
2015,2015-03-17,주유소,폐업,오일육주유소,제주특별자치도 제주시 중앙로570 (아라일동),33.4726590975615,126.545266152334
2015,2015-03-18,주유소,폐업,케이케이㈜ 고려주유소,경상북도 칠곡군 경북대로862 (동명면),36.0355873590132,128.540049599805
2015,2015-03-18,주유소,휴업,삼영주유소,경상북도 포항시 북구 한동로431 (흥해읍),36.11226747226,129.387098368098
2015,2015-03-18,주유소,휴업,성화주유소,전라북도 전주시 덕진구 원장동길135 (장동),,
2015,2015-03-19,주유소,폐업,평내주유소,경기도 남양주시 경춘로1269 (평내동),37.6477196382862,127.234719105199
2015,2015-03-19,주유소,폐업,동신주유소,광주광역시 북구 동문대로82 (두암동),35.1709984196784,126.923119160266
2015,2015-03-20,주유소,폐업,송이주유소,전라북도 전주시 덕진구 동부대로1018 (송천동2가),,
2015,2015-03-22,주유소,폐업,SK동아에너지,전라북도 정읍시 연지8길 11번지 (연지동),,
2015,2015-03-23,주유소,폐업,주식회사 민성,강원도 강릉시 오이동길7 (강동면),37.6838668177057,129.008979569968
2015,2015-03-23,주유소,휴업,치산주유소,경상북도 영천시 치산효령로425 (신녕면),36.0582839834106,128.747555498909
2015,2015-03-23,주유소,폐업,대일상운㈜,부산광역시 동구 중앙대로180번길12-11 (초량동)성신빌딩305비호,35.1122064871327,129.039900765376
2015,2015-03-23,주유소,폐업,청룡주유소,서울특별시 영등포구 국회대로786 (여의도동),37.5302888565757,126.919600041211
2015,2015-03-23,주유소,휴업,대광주유소,전남 함평군 신광면 신광중앙길 90,35.1550627505031,126.497154392804
2015,2015-03-23,주유소,폐업,활주로주유소,전라남도 나주시 산남로141 (산포면),35.0457421966951,126.828529282639
2015,2015-03-23,주유소,폐업,송이주유소,전라북도 전주시 덕진구 동부대로1018 (송천동2가),,
2015,2015-03-24,주유소,휴업,대신주유소,충청북도 청주시 청원구 향군로108번길1 (우암동),,
2015,2015-03-25,주유소,휴업,사계절주유소,강원도 평창군 방림면 평창대로 272,37.4480764521075,128.436988517657
2015,2015-03-25,주유소,폐업,동일주유소,강원도 횡성군 안흥로28 (안흥면),37.4119534069004,128.156503174074
2015,2015-03-25,주유소,휴업,명성에너지,경기도 이천시 이여로388 (백사면),37.3285851358709,127.479401869453
2015,2015-03-25,주유소,폐업,㈜미림주유소,서울특별시 영등포구 여의대방로147 (신길동),,
2015,2015-03-25,주유소,휴업,주식회사 도준코퍼레이션,인천광역시 부평구 장제로366 (갈산동),,
2015,2015-03-26,주유소,폐업,신우오일상회,경북 영천시 화북면 화북길 60,36.1107544676036,128.921418985439
2015,2015-03-26,주유소,폐업,율곡유업사,경상북도 상주시 함령길6 (함창읍),36.5663138070683,128.179712711084
2015,2015-03-26,주유소,휴업,옥계주유소,충청남도 홍성군 무한로803 (장곡면),36.4815669867628,126.740818744021
2015,2015-03-30,주유소,폐업,청호주유소,경상남도 창원시 의창구 사화로382 (팔용동),,
2015,2015-03-30,주유소,휴업,주교고송영농회주유소,충청남도 보령시 토정로886 (주교면),36.3829611937281,126.520511424246
2015,2015-03-31,주유소,휴업,㈜용봉주유소,강원도 강릉시 경강로1377-3 (성산면),37.7211611993158,128.832687857918
2015,2015-03-31,주유소,휴업,명주주유소,강원도 강릉시 경강로1935 (홍제동),37.7479184742889,128.881569753092
2015,2015-03-31,주유소,휴업,터널주유소,경기도 남양주시 경춘로1757 (화도읍),37.6575608976626,127.285608574031
2015,2015-03-31,주유소,폐업,신정자주유소,경기도 수원시 장안구 수성로267 (정자동),37.2903289512378,127.001579301737
2015,2015-03-31,주유소,휴업,고릴라주유소,경기도 양주시 중앙로246 (백석읍),37.7973150573406,126.986484493397
2015,2015-03-31,주유소,휴업,금호주유소,경기도 의왕시 안양판교로128 (포일동),,
2015,2015-03-31,주유소,폐업,동방주유소,경상남도 창녕군 유어장마로13 (장마면),35.4595554316104,128.449998852657
2015,2015-03-31,주유소,휴업,㈜원흥 광주지점,광주광역시 남구 독립로143 (월산동),35.1464563519484,126.903430477667
2015,2015-03-31,주유소,휴업,미양주유소,서울특별시 강북구 삼양로160 (미아동),,
2015,2015-03-31,주유소,휴업,월천주유소,전라북도 진안군 진장로627 (진안읍),35.7796264799907,127.485627611721
